id,symbol,baseMean,log2FoldChange,maxLog2FoldChange
FBgn0032652,CG6870,14.03128474,2.221735089,8.409169557
FBgn0263762,CG43679,55.04294636,0.109825544,10.98852621
FBgn0036485,FucTA,9.923771333,-1.040724225,7.571384048
FBgn0050160,Tsp42Eb,9.243447271,0.55494639,-6.087752086
FBgn0003312,sad,74.75385292,0.675989108,3.725020584
FBgn0034900,CG12491,4.861104097,-4.433575597,24.12753677
FBgn0259697,nvd,9.271484034,1.301028461,6.099748793
FBgn0267705,,1.812465679,-1.04410966,-4.165084943
FBgn0033558,CG12344,239.0773874,0.780267701,-2.759048395
FBgn0264602,,2.71338608,3.388514148,4.286300078
FBgn0031343,CG18131,1.99824722,0.77863736,3.549342755
FBgn0036363,CG10140,3.639267178,-0.281150669,7.083888293
FBgn0259950,CG42460,25.68481631,-0.682897288,9.834990202
FBgn0032276,dbf,1.431341125,-0.066225938,-3.962485659
FBgn0034435,fest,5.622968774,-0.236434619,-3.354030838
FBgn0032707,CG10348,1.606389619,-0.087914274,5.13327552
FBgn0267465,,2.813758048,2.344204415,3.632519597
FBgn0265369,,2.437043611,1.475641561,-2.994013542
FBgn0266653,,5.455029403,1.952873442,2.346852317
FBgn0050456,CG30456,22.25268527,0.825564978,2.043281449
FBgn0034739,CG3927,1.651157544,-0.604928092,-4.459831393
FBgn0262823,hemo,1.202503111,0.447422413,3.579586563
FBgn0038565,CG7794,4.931522324,1.073914996,1.809532486
FBgn0262529,CG43083,23.70663209,-0.813950245,9.61977052
FBgn0031728,Hsp60C,3.882362076,0.265519911,-2.538994174
FBgn0266739,,9.374709052,0.807232315,1.489536782
FBgn0036695,Papst2,295.5288349,0.113624308,0.632286653
FBgn0035409,CG14963,1.430963687,-2.825073101,-2.44672764
FBgn0032061,CG9314,2.357181834,1.211539034,-2.385960188
FBgn0038034,,43.80245979,1.018915948,0.718293457
FBgn0030338,CG15741,4.514329954,-0.684495935,7.016731987
FBgn0267568,,1.931355187,2.036605874,2.147397299
FBgn0050343,Tsen15,80.0939797,-0.395587987,0.518313114
FBgn0267557,,1.62844178,3.387205085,2.030235848
FBgn0260763,CG42561,4.652200337,0.301242097,1.404087706
FBgn0035656,CG10479,16.82965918,0.539347027,0.805961981
FBgn0053284,CG33284,2.327184343,0.265697872,-1.789026593
FBgn0036131,CG12522,1.560833352,-0.656535703,5.742064146
FBgn0033904,CG18327,13.87291458,1.23143633,0.883790494
FBgn0034251,ND-51L1,7.965505351,0.932816204,0.784365742
FBgn0083054,,1.08277525,-3.265714394,-2.023653304
FBgn0262741,,2.370670298,-3.539455241,2.272467234
FBgn0040063,yip3,1.227524079,-0.849255866,-1.464328168
FBgn0015831,Rtnl2,6.35654548,-0.13734715,-0.785032982
FBgn0266202,,18.0526033,-0.059321319,0.503745142
FBgn0031708,CG7382,359.3513469,-0.081708721,0.191089159
FBgn0029813,AgmNAT,74.82861056,0.144246217,-0.250434418
FBgn0036849,CG14079,14.75953677,0.056653643,0.430533078
FBgn0033813,fsd,190.7660601,-0.147395162,0.116094008
FBgn0038454,CG10324,362.2629297,0.190960767,0.107832075
FBgn0032321,YL-1,893.5176762,0.013551233,-0.101209315
FBgn0037339,Pi4KIIalpha,881.0097138,-0.031314007,0.085999878
FBgn0037657,hyx,2743.064673,-0.035730858,-0.043080295